"id","english","french","german","chinese","dutch","spanish","italian","korean","vietnamese","arabic"
"1","Genesis","Genèse","1 Mose","&#21019; &#19990; &#32426;","Genesis","Genesis","Genesi","창세기","Sáng-thế Ký","التكوين"
"2","Exodus","Exode","2 Mose","&#20986; &#22467; &#21450; &#35760;","Exodus","Exodo","Esodo","출애굽기","Xuất Ê-díp-tô Ký","لخروج"
"3","Leviticus","Lévitique","3 Mose","&#21033; &#26410; &#35760;","Leviticus","Levitico","Levitico","레위기","Lê-vi Ký","اللاويين"
"4","Numbers","Nombres","4 Mose","&#27665; &#25968; &#35760;","Numberi","Numeros","Numeri","민수기","Dân-số Ký","العدد"
"5","Deuteronomy","Deutéronome","5 Mose","&#30003; &#21629; &#35760;","Deuteronomium","Deuteronomio","Deuteronomio","신명기","Phục-truyền Luật-lệ Ký","التثنية"
"6","Joshua","Josué","Josua","&#32422; &#20070; &#20122; &#35760;","Jozua","Josue","Giosué","여호수아","Giô-suê","يشوع"
"7","Judges","Juges","Richter","&#22763; &#24072; &#35760;","Richtere","Jueces","Giudici","사사기","Các Quan Xét","القضاة"
"8","Ruth","Ruth","Rut","&#36335; &#24471; &#35760;","Ruth","Rut","Rut","룻기","Ru-tơ","راعوث"
"9","1 Samuel","1 Samuel","1 Samuel","&#25746; &#27597; &#32819; &#35760; &#19978;","1 Samuël","1 Samuel","1 Samuele","사무엘상","1 Sa-mu-ên","صموئيل الأول 1"
"10","2 Samuel","2 Samuel","2 Samuel","&#25746; &#27597; &#32819; &#35760; &#19979;","2 Samuël","2 Samuel","2 Samuele","사무엘하","2 Sa-mu-ên","صموئيل الثاني 2"
"11","1 Kings","1 Rois","1 Koenige","&#21015; &#29579; &#35760; &#19978;","1 Koningen","1 Reyes","1 Re","열왕기상","1 Các Vua","الملوك الأول 1"
"12","2 Kings","2 Rois","2 Koenige","&#21015; &#29579; &#35760; &#19979;","2 Koningen","2 Reyes","2 Re","열왕기하","2 Các Vua","لملوك الثاني 2"
"13","1 Chronicles","1 Chroniques","1 Chronik","&#21382; &#20195; &#24535; &#19978;","1 Kronieken","1 Cronicas","1 Cronache","역대상","1 Sử-ký","أخبار الأيام الأول 1"
"14","2 Chronicles","2 Chroniques","2 Chronik","&#21382; &#20195; &#24535; &#19979;","2 Kronieken","2 Cronicas","2 Cronache","역대하","2 Sử-ký","أخبار الأيام الثاني 2"
"15","Ezra","Esdras","Esra","&#20197; &#26031; &#25289; &#35760;","Ezra","Esdras","Esdra","에스라","Ê-xơ-ra","عزرا"
"16","Nehemiah","Néhémie","Nehemia","&#23612; &#24076; &#31859; &#35760;","Nehemia","Nehemias","Neemia","느헤미야","Nê-hê-mi","نحميا"
"17","Esther","Esther","Ester","&#20197; &#26031; &#24086; &#35760;","Esther","Ester","Ester","에스더","Ê-xơ-tê","أستير"
"18","Job","Job","Hiob","&#32422; &#20271; &#35760;","Job","Job","Giobbe","욥기","Gióp","أيوب"
"19","Psalms","Psaumes","Psalm","&#35799; &#31687;","Psalmen","Salmos","Salmi","시편","Thi-thiên","المزامير"
"20","Proverbs","Proverbes","Sprueche","&#31668; &#35328;","Spreuken","Proverbios","Proverbi","잠언","Châm-ngôn","الأمثال"
"21","Ecclesiastes","Ecclésiaste","Prediger","&#20256; &#36947; &#20070;","Prediker","Eclesiastes","Ecclesiaste","전도서","Truyền-đạo","الجامعة"
"22","Song of Solomon","Cantique des Cantiques","Hohelied","&#38597; &#27468;","Hooglied","Cantares","Cantico dei Cantici","아가","Nhã-ca","نشيد الأنشاد"
