"id","book","chapters","abbr","longname"
"1","Genesis","50","Gen, Gn, Ge","The First Book of Moses, called <b>Genesis</b>"
"2","Exodus","40","Exo, Ex, Exod","The Second Book of Moses, called <b>Exodus</b>"
"3","Leviticus","27","Lev, Lv","The Third Book of Moses, called <b>Leviticus</b>"
"4","Numbers","36","Num, Nm, Nu","The Fourth Book of Moses, called <b>Numbers</b>"
"5","Deuteronomy","34","Deu, Dt, Deut","The Fifth Book of Moses, called <b>Deuteronomy</b>"
"6","Joshua","24","Jos, Josh","The Book of <b>Joshua</b>"
"7","Judges","21","Jdg, Judg, jud","The Book of <b>Judges</b>"
"8","Ruth","4","Rth, Rt, Rut, Ru","The Book of <b>Ruth</b>"
"9","1 Samuel","31","1 Sam, 1 Sa, 1 S, 1 Sm, 1sa, 1Sam, sa1","The <b>First Book of Samuel</b> Otherwise Called The First Book of the Kings"
"10","2 Samuel","24","2 Sam, 2 Sa, 2 S, 2 Sm, 2sa, 2Sam, sa2","The <b>Second Book of Samuel</b> Otherwise Called The Second Book of the Kings"
"11","1 Kings","22","1 Ki, 1 Kgs, 1ki, 1 king, kg1","The <b>First Book of the Kings,</b> Commonly Called the Third Book of the Kings"
"12","2 Kings","25","2 Ki, 2 Kgs, 2ki, 2 king, kg2","The <b>Second Book of the Kings,</b> Commonly Called the Fourth Book of the Kings"
"13","1 Chronicles","29","1 Chr, 1 Ch, 1 Chron, 1ch, 1Chr, ch1","The <b>First Book of the Chronicles</b>"
"14","2 Chronicles","36","2 Chr, 2 Ch, 2 Chron, 2ch, 2Chr, ch2","The <b>Second Book of the Chronicles</b>"
"15","Ezra","10","Ezr, Esr, 1 Ezr","<b>Ezra</b>"
"16","Nehemiah","13","Neh, Ne, 2 Ezr","The Book of <b>Nehemiah</b>"
"17","Esther","10","Est, Esth, es","The Book of <b>Esther</b>"
"18","Job","42","Job, Jb","The Book of <b>Job</b>"
"19","Psalms","150","Psa, Ps, Psalm","The Book of <b>Psalms</b>"
"20","Proverbs","31","Pro, Pr, Prov, Prv","The <b>Proverbs</b>"
"21","Ecclesiastes","12","Ecc, Ec, Eccl","<b>Ecclesiastes</b> or, the Preacher"
"22","Song of Solomon","8","Sng, Song, Canticles, Cant, so, Solomon, Song of Solomon, SS","The <b>Song of Solomon</b>"
"23","Isaiah","66","Isa, Is","The Book of the Prophet <b>Isaiah</b>"
"24","Jeremiah","52","Jer, Jr","The Book of the Prophet <b>Jeremiah</b>"
"25","Lamentations","5","Lam, La, Lm","The <b>Lamentations</b> of Jeremiah"
"26","Ezekiel","48","Ezk, Ez, Ezek, Eze","The Book of the Prophet <b>Ezekiel</b>"
"27","Daniel","12","Dan, Da, Dn","The Book of <b>Daniel</b>"
"28","Hosea","14","Hos, Ho","<b>Hosea</b>"
"29","Joel","3","Jol, Jl, joe","<b>Joel</b>"
"30","Amos","9","Amo, Am","<b>Amos</b>"
"31","Obadiah","1","Oba, Ob, Obad, Obd","<b>Obadiah</b>"
"32","Jonah","4","Jon, Jnh","<b>Jonah</b>"
"33","Micah","7","Mic, Mi, Mch","<b>Micah</b>"
"34","Nahum","3","Nah, Na, Nam","<b>Nahum</b>"
"35","Habakkuk","3","Hab, Ha","<b>Habakkuk</b>"
"36","Zephaniah","3","Zeph, Zep","<b>Zephaniah</b>"
"37","Haggai","2","Hag, Hagg","<b>Haggai</b>"
"38","Zechariah","14","Zech, Zec, Zch, zac","<b>Zechariah</b>"
"39","Malachi","4","Mal, Ml","<b>Malachi</b>"
"40","Matthew","28","Mt, Mat, Matt","The Gospel According to <b>St. Matthew</b>"
"41","Mark","16","Mk, Mr, Mrk","The Gospel According to <b>St. Mark</b>"
"42","Luke","24","Lk, Luk, L, Lu","The Gospel According to <b>St. Luke</b>"
"43","John","21","Jn, Jhn, J, Joh","The Gospel According to <b>St. John</b>"
"44","Acts","28","Act, Ac","The <b>Acts</b> of the Apostles"
"45","Romans","16","Rom, Ro, R, Rm","The Epistle of Paul the Apostle to the <b>Romans</b>"
"46","1 Corinthians","16","1 Cor, 1 Co, 1 c, 1co, 1cor, co1","The First Epistle of Paul the Apostle to the <b>Corinthians</b>"
"47","2 Corinthians","13","2 Cor, 2 Co, 2 c, 2co, 2cor, co2","The Second Epistle of Paul the Apostle to the <b>Corinthians</b>"
"48","Galatians","6","Gal, Ga, G","The Epistle of Paul the Apostle to the <b>Galatians</b>"
"49","Ephesians","6","Eph, Ep, E","The Epistle of Paul the Apostle to the <b>Ephesians</b>"
"50","Philippians","4","Phil, Php, Ph, Phili","The Epistle of Paul the Apostle to the <b>Philippians</b>"
"51","Colossians","4","Col","The Epistle of Paul the Apostle to the <b>Colossians</b>"
"52","1 Thessalonians","5","1 Th, 1 Thess, 1 Thes, 1th, th1","The First Epistle of Paul the Apostle to the <b>Thessalonians</b>"
"53","2 Thessalonians","3","2 Th, 2 Thess, 2 Thes, 2th, th2","The Second Epistle of Paul the Apostle to the <b>Thessalonians</b>"
"54","1 Timothy","6","1 Tim, 1 Ti, 1 T, 1 Tm, 1ti, ti1","The First Epistle of Paul the Apostle to <b>Timothy</b>"
"55","2 Timothy","4","2 Tim, 2 Ti, 2 T, 2 Tm, 2ti, ti2","The Second Epistle of Paul the Apostle to <b>Timothy</b>"
"56","Titus","3","Tit, Tt","The Epistle of Paul the Apostle to <b>Titus</b>"
"57","Philemon","1","Phm, Phlm, Philem, Phile, plm","The Epistle of Paul the Apostle to <b>Philemon</b>"
"58","Hebrews","13","Heb, Hebr, H, Hbr, Hebrews","The Epistle of Paul the Apostle to the <b>Hebrews</b>"
"59","James","5","Jas, Jam, Ja","The General Epistle of <b>James</b>"
"60","1 Peter","5","1 Pet, 1 Pt, 1 P, 1 Pe, 1pe, 1Pet, pe1","The First Epistle General of <b>Peter</b>"
"61","2 Peter","3","2 Pet, 2 Pt, 2 P, 2 Pe, 2pe, 2Pet, pe2","The Second Epistle General of <b>Peter</b>"
"62","1 John","5","1 Jn, 1 Jo, 1 J, 1jo, 1 joh, jo1","The First Epistle General of <b>John</b>"
"63","2 John","1","2 Jn, 2 Jo, 2 J, 2jo, 2 joh, jo2","The Second Epistle of <b>John</b>"
"64","3 John","1","3 Jn, 3 Jo, 3 J, 3jo, 3 joh, jo3","The Third Epistle of <b>John</b>"
"65","Jude","1","Jude, Jd, jde","The General Epistle of <b>Jude</b>"
"66","Revelation","22","Rev, revelations, rv","The <b>Revelation</b> of St. John the Divine"
