"id","reference","definition"
"1","AEnon","<p>Springs, a place near Salim where John baptized (John 3:23). It was probably near the upper source of the Wady Far&#39;ah, an open valley extending from Mount Ebal to the Jordan. It is full of springs. A place has been found called Ainun, four miles north of the springs.</p>"
"2","Aaron","<p>The eldest son of Amram and Jochebed, a daughter of Levi (Ex. 6:20). Some explain the name as meaning mountaineer, others mountain of strength, illuminator. He was born in Egypt three years before his brother Moses, and a number of years after his sister Miriam (2:1, 4; 7:7). He married Elisheba, the daughter of Amminadab of the house of Judah (6:23; 1 Chr. 2:10), by whom he had four sons, Nadab and Abihu, Eleazar and Ithamar. When the time for the deliverance of Isarael out of Egypt drew nigh, he was sent by God (Ex. 4:14, 27-30) to meet his long-absent brother, that he might co-operate with him in all that they were required to do in bringing about the Exodus. He was to be the &quot;mouth&quot; or &quot;prophet&quot; of Moses, i.e., was to speak for him, because he was a man of a ready utterance (7:1, 2, 9, 10, 19). He was faithful to his trust, and stood by Moses in all his interviews with Pharaoh.</p><p>When the ransomed tribes fought their first battle with Amalek in Rephidim, Moses stood on a hill overlooking the scene of the conflict with the rod of God in his outstretched hand. On this occasion he was attended by Aaron and Hur, his sister&#39;s husband, who held up his wearied hands till Joshua and the chosen warriors of Israel gained the victory (17:8-13).</p><p>Afterwards, when encamped before Sinai, and when Moses at the command of God ascended the mount to receive the tables of the law, Aaron and his two sons, Nadab and Abihu, along with seventy of the elders of Israel, were permitted to accompany him part of the way, and to behold afar off the manifestation of the glory of Israel&#39;s God (Ex. 19:24; 24:9-11). While Moses remained on the mountain with God, Aaron returned unto the people; and yielding through fear, or ignorance, or instability of character, to their clamour, made unto them a golden calf, and set it up as an object of worship (Ex. 32:4; Ps. 106:19). On the return of Moses to the camp, Aaron was sternly rebuked by him for the part he had acted in this matter; but he interceded for him before God, who forgave his sin (Deut. 9:20).</p><p>On the mount, Moses received instructions regarding the system of worship which was to be set up among the people; and in accordance therewith Aaron and his sons were consecrated to the priest&#39;s office (Lev. 8; 9). Aaron, as high priest, held henceforth the prominent place appertaining to that office.</p><p>When Israel had reached Hazeroth, in &quot;the wilderness of Paran,&quot; Aaron joined with his sister Miriam in murmuring against Moses, &quot;because of the Ethiopian woman whom he had married,&quot; probably after the death of Zipporah. But the Lord vindicated his servant Moses, and punished Miriam with leprosy (Num. 12). Aaron acknowledged his own and his sister&#39;s guilt, and at the intercession of Moses they were forgiven.</p><p>Twenty years after this, when the children of Israel were encamped in the wilderness of Paran, Korah, Dathan, and Abiram conspired against Aaron and his sons; but a fearful judgment from God fell upon them, and they were destroyed, and the next day thousands of the people also perished by a fierce pestilence, the ravages of which were only stayed by the interposition of Aaron (Num. 16). That there might be further evidence of the divine appointment of Aaron to the priestly office, the chiefs of the tribes were each required to bring to Moses a rod bearing on it the name of his tribe. And these, along with the rod of Aaron for the tribe of Levi, were laid up overnight in the tabernacle, and in the morning it was found that while the other rods remained unchanged, that of Aaron &quot;for the house of Levi&quot; budded, blossomed, and yielded almonds (Num. 17:1-10). This rod was afterwards preserved in the tabernacle (Heb. 9:4) as a memorial of the divine attestation of his appointment to the priesthood.</p><p>Aaron was implicated in the sin of his brother at Meribah (Num. 20:8-13), and on that account was not permitted to enter the Promised Land. When the tribes arrived at Mount Hor, &quot;in the edge of the land of Edom,&quot; at the command of God Moses led Aaron and his son Eleazar to the top of that mountain, in the sight of all the people. There he stripped Aaron of his priestly vestments, and put them upon Eleazar; and there Aaron died on the top of the mount, being 123 years old (Num. 20:23-29. Comp. Deut. 10:6; 32:50), and was &quot;gathered unto his people.&quot; The people, &quot;even all the house of Israel,&quot; mourned for him thirty days. Of Aaron&#39;s sons two survived him, Eleazar, whose family held the high-priesthood till the time of Eli; and Ithamar, in whose family, beginning with Eli, the high-priesthood was held till the time of Solomon. Aaron&#39;s other two sons had been struck dead (Lev. 10:1, 2) for the daring impiety of offering &quot;strange fire&quot; on the alter of incense.</p><p>The Arabs still show with veneration the traditionary site of Aaron&#39;s grave on one of the two summits of Mount Hor, which is marked by a Mohammedan chapel. His name is mentioned in the Koran, and there are found in the writings of the rabbins many fabulous stories regarding him.</p><p>He was the first anointed priest. His descendants, &quot;the house of Aaron,&quot; constituted the priesthood in general. In the time of David they were very numerous (1 Chr. 12:27). The other branches of the tribe of Levi held subordinate positions in connection with the sacred office. Aaron was a type of Christ in his official character as the high priest. His priesthood was a &quot;shadow of heavenly things,&quot; and was intended to lead the people of Israel to look forward to the time when &quot;another priest&quot; would arise &quot;after the order of Melchizedek&quot; (Heb. 6:20). (See [1]MOSES.)</p>"
"3","Aaronites","<p>The descendants of Aaron, and therefore priests. Jehoiada, the father of Benaiah, led 3,700 Aaronites as &quot;fighting men&quot; to the support of David at Hebron (1 Chr. 12:27). Eleazar (Num. 3:32), and at a later period Zadok (1 Chr. 27:17), was their chief.</p>"
"4","Abaddon","<p>Destruction, the Hebrew name (equivalent to the Greek Apollyon, i.e., destroyer) of &quot;the angel of the bottomless pit&quot; (Rev. 9:11). It is rendered &quot;destruction&quot; in Job 28:22; 31:12; 26:6; Prov. 15:11; 27:20. In the last three of these passages the Revised Version retains the word &quot;Abaddon.&quot; We may regard this word as a personification of the idea of destruction, or as sheol, the realm of the dead.</p>"
"5","Abagtha","<p>One of the seven eunuchs in Ahasuerus&#39;s court (Esther 1:10; 2:21).</p>"
"6","Abana","<p>Stony (Heb. marg. &quot;Amanah,&quot; perennial), the chief river of Damascus (2 Kings 5:12). Its modern name is Barada, the Chrysorrhoas, or &quot;golden stream,&quot; of the Greeks. It rises in a cleft of the Anti-Lebanon range, about 23 miles north-west of Damascus, and after flowing southward for a little way parts into three smaller streams, the central one flowing through Damascus, and the other two on each side of the city, diffusing beauty and fertility where otherwise there would be barrenness.</p>"
"7","Abarim","<p>Regions beyond; i.e., on the east of Jordan, a mountain, or rather a mountain-chain, over against Jericho, to the east and south-east of the Dead Sea, in the land of Moab. From &quot;the top of Pisgah&quot;, i.e., Mount Nebo (q.v.), one of its summits, Moses surveyed the Promised Land (Deut. 3:27; 32:49), and there he died (34:1, 5). The Israelites had one of their encampments in the mountains of Abarim (Num. 33:47, 48) after crossing the Arnon.</p>"
"8","Abba","<p>This Syriac or Chaldee word is found three times in the New Testament (Mark 14:36; Rom. 8:15; Gal. 4:6), and in each case is followed by its Greek equivalent, which is translated &quot;father.&quot; It is a term expressing warm affection and filial confidence. It has no perfect equivalent in our language. It has passed into European languages as an ecclesiastical term, &quot;abbot.&quot;</p>"
"9","Abda","<p>Servant. (1.) The father of Adoniram, whom Solomon set over the tribute (1 Kings 4:6); i.e., the forced labour (R.V., &quot;levy&quot;).</p><p>(2.) A Levite of the family of Jeduthun (Neh. 11:17), also called Obadiah (1 Chr. 9:16).</p>"
"10","Abdeel","<p>Servant of God, (Jer. 36:26), the father of Shelemiah.</p>"
