"id","chapter","verse","note"
"1","Genesis 1","4","divided the light from the darkness: Heb. between the light and between the darkness
"
"2","Genesis 1","5","And the evening and the morning were the first day: Heb. And the evening was, and the morning was
"
"3","Genesis 1","6","firmament: Heb. expansion
"
"4","Genesis 1","11","grass: Heb. tender grass
"
"5","Genesis 1","14","the day from the night: Heb. between the day and between the night
"
"6","Genesis 1","16","to rule the day: Heb. for the rule of the day, etc.
"
"7","Genesis 1","20","moving: Or, creeping
"
"8","Genesis 1","20","life: Heb. soul
"
"9","Genesis 1","20","open firmament of heaven: face of the firmament of heaven
"
"10","Genesis 1","28","moveth: Heb. creepeth
"
"11","Genesis 1","29","bearing seed: Heb. seeding seed
"
"12","Genesis 1","30","life: Heb. a living soul
"
"13","Genesis 2","3","created and made: Heb. created to make
"
"14","Genesis 2","6","but there went up a mist from: Or, a mist which went up from
"
"15","Genesis 2","7","of the dust of the ground: Heb. dust of the ground
"
"16","Genesis 2","13","Ethiopia: Heb. Cush
"
"17","Genesis 2","14","toward the East of Assyria: Or, Eastward to Assyria
"
"18","Genesis 2","15","the man: Or, Adam
"
"19","Genesis 2","16","freely eat: Heb. eating thou shalt eat
"
"20","Genesis 2","17","surely die: Heb. dying thou shalt die
"
"21","Genesis 2","18","meet for him: Heb. as before him
"
"22","Genesis 2","19","Adam: Or, the man
"
"23","Genesis 2","20","gave: Heb. called
"
"24","Genesis 2","22","made: Heb. built
"
"25","Genesis 3","1","Yea, hath: Heb. Yea, because, etc.
"
"26","Genesis 3","6","pleasant: Heb. a desire
"
"27","Genesis 3","7","aprons: Or, things to gird about
"
"28","Genesis 3","8","cool: Heb. wind
"
"29","Genesis 3","16","to thy husband: Or, subject to thy husband
"
"30","Genesis 3","18","bring forth: Heb. cause to bud
"
"31","Genesis 3","20","Eve: Heb. Chavah
"
"32","Genesis 4","2","Abel: Heb. Hebel
"
"33","Genesis 4","2","keeper: Heb. a feeder
"
"34","Genesis 4","3","in process of time: Heb. at the end of days
"
"35","Genesis 4","4","flock: Heb. sheep, or, goats
"
"36","Genesis 4","7","be accepted?: Or, have the excellency?
"
"37","Genesis 4","7","unto thee: Or, subject unto thee
"
"38","Genesis 4","10","blood: Heb. bloods
"
"39","Genesis 4","13","My punishment is greater, then I can bear: Or, my iniquity is greater then that it may be forgiven
"
"40","Genesis 4","17","Enoch: Heb. Chanoch
"
"41","Genesis 4","18","Lamech: Heb. Lemech
"
"42","Genesis 4","22","instructor: Heb. wheter
"
"43","Genesis 4","23","I have slain a man to my wounding: Or, I would slay a man in my wound, etc.
"
"44","Genesis 4","23","hurt: Or, in my hurt
"
"45","Genesis 4","25","Seth: Heb. Sheth
"
"46","Genesis 4","26","Enos: Heb. Enosh
"
"47","Genesis 4","26","call upon the Name of the LORD: Or, to call themselves by the Name of the LORD
"
"48","Genesis 5","6","Enos: Heb. Enosh
"
"49","Genesis 5","9","Cainan: Heb. Kenan
"
"50","Genesis 5","12","Mahalaleel: Gr. Maleleel
"
"51","Genesis 5","15","Jared: Heb. Jered
"
"52","Genesis 5","21","Methuselah: Gr. Mathusala
"
"53","Genesis 5","26","Lamech: Heb. Lemech
"
"54","Genesis 5","29","Noah: Gr. Noe
"
"55","Genesis 6","5","that every imagination: Or, the whole imagination. The Hebr. word signifieth not only the imagination, but also the purposes and desires.
"
"56","Genesis 6","5","continually: Heb. every day
"
"57","Genesis 6","7","both man and beast: Heb. from man unto beast
"
"58","Genesis 6","9","perfect: Or, upright
"
"59","Genesis 6","13","with the earth: Or, from the earth
"
